Date,Amount
2024-12-09 16:06,3.17
2024-12-09 00:21,4.57
2024-12-08 10:43,3.93
2024-12-08 09:43,4.89
2024-12-07 18:40,4.23
2024-12-07 08:52,9.46
2024-12-06 21:52,11.91
2024-12-06 21:33,18.50
2024-12-06 19:21,12.33
2024-12-06 18:58,19.14
2024-12-06 14:43,8.96
2024-12-02 13:56,8.63
2024-11-30 09:30,801.27
2024-12-22 00:50,84.86
2024-12-22 00:06,44.00
2024-12-20 15:04,21.63
2024-12-19 22:17,21.32
2024-12-16 20:44,16.68
2024-12-09 16:06,3.17
2024-12-09 00:21,4.57
2024-12-08 10:43,3.93
2024-12-08 09:43,4.89
2024-12-07 18:40,4.23
2024-12-07 08:52,9.46
2024-12-06 21:52,11.91
2024-12-06 21:33,18.50
2024-12-06 19:21,12.33
2024-12-06 18:58,19.14
2024-12-06 14:43,8.96
2024-12-02 13:56,8.63
2024-11-30 09:30,801.27
