date,rating,text
2026-01-02,5,"Great flavor and fast shipping. I buy this every month."
2026-01-03,2,"The can arrived dented and the taste was flat."
2026-01-04,4,"Good energy boost before training, no crash for me."
2026-01-06,1,"Customer support did not respond and delivery was late."
2026-01-08,5,"Excellent product quality and easy online checkout."
2026-01-10,3,"Packaging looked nice but the price feels high."
2026-01-12,4,"Useful during long work days, would recommend to friends."
2026-01-15,2,"Flavor is too sweet and gave me a headache."
2026-01-17,5,"Very consistent quality and reliable delivery schedule."
2026-01-19,3,"Not bad overall, but I expected a longer effect."
2026-01-21,4,"Website was simple to use and order tracking was clear."
2026-01-23,1,"Terrible experience, wrong item and no refund update."
